Research ID,Raw Skill,Skill Tag,Correlation Coefficient
AFSC 10C0,management,ESCO.565,0.8695018190415156
AFSC 10C0,management,ESCO.888,0.8755034228670598
AFSC 10C0,operations training,OSN.739,0.8536825263109007
AFSC 10C0,information system,ESCO.265,0.8586308291335879
AFSC 10C0,information system,ESCO.327,0.8665197101165986
AFSC 10C0,information system,ESCO.344,0.8544772066707875
AFSC 10C0,information system,ESCO.355,0.8696035922491209
AFSC 10C0,information system,ESCO.813,0.8604280810149119
AFSC 10C0,information system,ESCO.818,0.9072530569233033
AFSC 10C0,information system,OSN.524,0.9212522530743671
AFSC 10C0,programming,ESCO.174,0.8672291704754024
AFSC 10C0,programming,ESCO.522,0.8587864813675486
"AFSC 10C0, completion of a current T5 Investigation IAW DoDM 5200.02_AFMAN 16-1405, Air Force Personnel Security Program.",management,ESCO.565,0.8695018190415156
"AFSC 10C0, completion of a current T5 Investigation IAW DoDM 5200.02_AFMAN 16-1405, Air Force Personnel Security Program.",management,ESCO.888,0.8755034228670598
"AFSC 10C0, completion of a current T5 Investigation IAW DoDM 5200.02_AFMAN 16-1405, Air Force Personnel Security Program.",r,ESCO.396,1.0
"AFSC 10C0, completion of a current T5 Investigation IAW DoDM 5200.02_AFMAN 16-1405, Air Force Personnel Security Program.",systems program,ESCO.1095,0.8609456174241411
"AFSC 10C0, completion of a current T5 Investigation IAW DoDM 5200.02_AFMAN 16-1405, Air Force Personnel Security Program.",automated systems,ESCO.806,0.8525991574553565
"AFSC 10C0, completion of a current T5 Investigation IAW DoDM 5200.02_AFMAN 16-1405, Air Force Personnel Security Program.",automated systems,ESCO.916,0.8822130608632807
"AFSC 10C0, completion of a current T5 Investigation IAW DoDM 5200.02_AFMAN 16-1405, Air Force Personnel Security Program.",automated systems,ESCO.1079,0.8822130608632807
"AFSC 10C0, completion of a current T5 Investigation IAW DoDM 5200.02_AFMAN 16-1405, Air Force Personnel Security Program.",automated systems,ESCO.1119,0.8723602275431189
"AFSC 11B1*, Entry/Student",management,ESCO.565,0.8695018190415156
"AFSC 11B1*, Entry/Student",management,ESCO.888,0.8755034228670598
"AFSC 11B1*, Entry/Student",operating procedures,OSN.726,0.8622111905939293
"AFSC 11B1*, Entry/Student",information system,ESCO.265,0.8586308291335879
"AFSC 11B1*, Entry/Student",information system,ESCO.327,0.8665197101165986
"AFSC 11B1*, Entry/Student",information system,ESCO.344,0.8544772066707875
"AFSC 11B1*, Entry/Student",information system,ESCO.355,0.8696035922491209
"AFSC 11B1*, Entry/Student",information system,ESCO.813,0.8604280810149119
"AFSC 11B1*, Entry/Student",information system,ESCO.818,0.9072530569233033
"AFSC 11B1*, Entry/Student",information system,OSN.524,0.9212522530743671
"AFSC 11E1*, Entry/Student",evaluation project,ESCO.565,0.8552316699420164
"AFSC 11E1*, Entry/Student",test procedures,ESCO.371,0.9999999999999998
"AFSC 11E1*, Entry/Student",test procedures,OSN.726,0.8644606740872863
"AFSC 11E1*, Entry/Student",research,OSN.260,0.8794616282740241
"AFSC 11E1*, Entry/Student",research,OSN.626,0.8893910384657686
"AFSC 11E1*, Entry/Student",information system,ESCO.265,0.8586308291335879
"AFSC 11E1*, Entry/Student",information system,ESCO.327,0.8665197101165986
"AFSC 11E1*, Entry/Student",information system,ESCO.344,0.8544772066707875
"AFSC 11E1*, Entry/Student",information system,ESCO.355,0.8696035922491209
"AFSC 11E1*, Entry/Student",information system,ESCO.813,0.8604280810149119
"AFSC 11E1*, Entry/Student",information system,ESCO.818,0.9072530569233033
"AFSC 11E1*, Entry/Student",information system,OSN.524,0.9212522530743671
"AFSC 11F1*, Entry/Student",management,ESCO.565,0.8695018190415156
"AFSC 11F1*, Entry/Student",management,ESCO.888,0.8755034228670598
"AFSC 11F1*, Entry/Student",operating procedures,OSN.726,0.8622111905939293
"AFSC 11F1*, Entry/Student",information system,ESCO.265,0.8586308291335879
"AFSC 11F1*, Entry/Student",information system,ESCO.327,0.8665197101165986
"AFSC 11F1*, Entry/Student",information system,ESCO.344,0.8544772066707875
"AFSC 11F1*, Entry/Student",information system,ESCO.355,0.8696035922491209
"AFSC 11F1*, Entry/Student",information system,ESCO.813,0.8604280810149119
"AFSC 11F1*, Entry/Student",information system,ESCO.818,0.9072530569233033
"AFSC 11F1*, Entry/Student",information system,OSN.524,0.9212522530743671
"AFSC 11H1*, Entry/Student",management,ESCO.565,0.8695018190415156
"AFSC 11H1*, Entry/Student",management,ESCO.888,0.8755034228670598
"AFSC 11H1*, Entry/Student",operating procedures,OSN.726,0.8622111905939293
"AFSC 11K1*, Entry/Student",management,ESCO.565,0.8695018190415156
"AFSC 11K1*, Entry/Student",management,ESCO.888,0.8755034228670598
"AFSC 11K1*, Entry/Student",operating procedures,OSN.726,0.8622111905939293
"AFSC 11M1*, Entry/Student",management,ESCO.565,0.8695018190415156
"AFSC 11M1*, Entry/Student",management,ESCO.888,0.8755034228670598
"AFSC 11M1*, Entry/Student",r,ESCO.396,1.0
"AFSC 11M1*, Entry/Student",operating procedures,OSN.726,0.8622111905939293
"AFSC 11M1*, Entry/Student",information system,ESCO.265,0.8586308291335879
"AFSC 11M1*, Entry/Student",information system,ESCO.327,0.8665197101165986
"AFSC 11M1*, Entry/Student",information system,ESCO.344,0.8544772066707875
"AFSC 11M1*, Entry/Student",information system,ESCO.355,0.8696035922491209
"AFSC 11M1*, Entry/Student",information system,ESCO.813,0.8604280810149119
"AFSC 11M1*, Entry/Student",information system,ESCO.818,0.9072530569233033
"AFSC 11M1*, Entry/Student",information system,OSN.524,0.9212522530743671
"AFSC 11R1*, Entry/Student",management,ESCO.565,0.8695018190415156
"AFSC 11R1*, Entry/Student",management,ESCO.888,0.8755034228670598
"AFSC 11R1*, Entry/Student",operating procedures,OSN.726,0.8622111905939293
"AFSC 11R1*, Entry/Student",information system,ESCO.265,0.8586308291335879
"AFSC 11R1*, Entry/Student",information system,ESCO.327,0.8665197101165986
"AFSC 11R1*, Entry/Student",information system,ESCO.344,0.8544772066707875
"AFSC 11R1*, Entry/Student",information system,ESCO.355,0.8696035922491209
"AFSC 11R1*, Entry/Student",information system,ESCO.813,0.8604280810149119
"AFSC 11R1*, Entry/Student",information system,ESCO.818,0.9072530569233033
"AFSC 11R1*, Entry/Student",information system,OSN.524,0.9212522530743671
"AFSC 11S1*, Entry/Student",management,ESCO.565,0.8695018190415156
"AFSC 11S1*, Entry/Student",management,ESCO.888,0.8755034228670598
"AFSC 11S1*, Entry/Student",operations training,OSN.739,0.8536825263109007
"AFSC 11S1*, Entry/Student",operating procedures,OSN.726,0.8622111905939293
"AFSC 11S1*, Entry/Student",information system,ESCO.265,0.8586308291335879
"AFSC 11S1*, Entry/Student",information system,ESCO.327,0.8665197101165986
"AFSC 11S1*, Entry/Student",information system,ESCO.344,0.8544772066707875
"AFSC 11S1*, Entry/Student",information system,ESCO.355,0.8696035922491209
